game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,47551,,NextRound,5/18/2016, 1:00:21 PM
0,0,7,0_7_5,61118,2,5,5/18/2016, 1:00:34 PM
0,1,,_,111445,,NextRound,5/18/2016, 1:01:25 PM
0,2,4,6_4_5,119686,1,4,5/18/2016, 1:01:33 PM
0,3,,_,139014,,NextRound,5/18/2016, 1:01:52 PM
0,4,1,4_0_1,147901,2,1,5/18/2016, 1:02:01 PM
0,5,,_,187308,,NextRound,5/18/2016, 1:02:41 PM
0,6,5,1_5_7,193548,1,5,5/18/2016, 1:02:47 PM
0,7,,_,218235,,NextRound,5/18/2016, 1:03:11 PM
0,8,3,5_4_3,230507,1,4,5/18/2016, 1:03:24 PM
0,9,,_,244131,,NextRound,5/18/2016, 1:03:37 PM
0,10,2,3_4_2,253755,2,2,5/18/2016, 1:03:47 PM
0,11,,_,265195,,NextRound,5/18/2016, 1:03:58 PM
0,12,0,0_6_1,271179,0,0,5/18/2016, 1:04:04 PM
0,13,,_,280019,,NextRound,5/18/2016, 1:04:13 PM
0,14,6,6_1_2,297931,0,6,5/18/2016, 1:04:31 PM
0,15,,_,307731,,NextRound,5/18/2016, 1:04:41 PM
1,-1,,_,313410,,NextRound,5/18/2016, 1:04:47 PM
1,0,2,3_4_2,321634,2,2,5/18/2016, 1:04:55 PM
1,1,,_,330201,,NextRound,5/18/2016, 1:05:03 PM
1,2,3,5_4_3,345474,2,3,5/18/2016, 1:05:19 PM
1,3,,_,365201,,NextRound,5/18/2016, 1:05:38 PM
1,4,5,1_5_7,375449,1,5,5/18/2016, 1:05:49 PM
1,5,,_,387393,,NextRound,5/18/2016, 1:06:01 PM
1,6,7,0_7_5,394338,1,7,5/18/2016, 1:06:08 PM
1,7,,_,418360,,NextRound,5/18/2016, 1:06:32 PM
1,8,1,4_0_1,424496,2,1,5/18/2016, 1:06:38 PM
1,9,,_,434464,,NextRound,5/18/2016, 1:06:48 PM
1,10,4,6_4_5,440056,1,4,5/18/2016, 1:06:53 PM
1,11,,_,447992,,NextRound,5/18/2016, 1:07:01 PM
1,12,0,0_6_1,452880,0,0,5/18/2016, 1:07:06 PM
1,13,,_,461392,,NextRound,5/18/2016, 1:07:15 PM
1,14,6,6_1_2,469896,0,6,5/18/2016, 1:07:23 PM
1,15,,_,476823,,NextRound,5/18/2016, 1:07:30 PM
2,-1,,_,482352,,NextRound,5/18/2016, 1:07:36 PM
2,0,1,4_0_1,490087,2,1,5/18/2016, 1:07:43 PM
2,1,,_,500168,,NextRound,5/18/2016, 1:07:53 PM
2,2,6,6_1_2,508247,0,6,5/18/2016, 1:08:01 PM
2,3,,_,517703,,NextRound,5/18/2016, 1:08:11 PM
2,4,4,6_4_5,526854,1,4,5/18/2016, 1:08:20 PM
2,5,,_,534374,,NextRound,5/18/2016, 1:08:28 PM
2,6,2,3_4_2,548654,2,2,5/18/2016, 1:08:42 PM
2,7,,_,557054,,NextRound,5/18/2016, 1:08:50 PM
2,8,5,1_5_7,565774,1,5,5/18/2016, 1:08:59 PM
2,9,,_,575654,,NextRound,5/18/2016, 1:09:09 PM
2,10,3,5_4_3,585550,2,3,5/18/2016, 1:09:19 PM
2,11,,_,592143,,NextRound,5/18/2016, 1:09:25 PM
2,12,7,0_7_5,608838,1,7,5/18/2016, 1:09:42 PM
2,13,,_,619445,,NextRound,5/18/2016, 1:09:53 PM
2,14,0,0_6_1,626869,0,0,5/18/2016, 1:10:00 PM
2,15,,_,634541,,NextRound,5/18/2016, 1:10:08 PM
3,-1,,_,639292,,NextRound,5/18/2016, 1:10:13 PM
3,0,6,6_1_2,646253,0,6,5/18/2016, 1:10:19 PM
3,1,,_,652228,,NextRound,5/18/2016, 1:10:25 PM
3,2,2,3_4_2,658004,2,2,5/18/2016, 1:10:31 PM
3,3,,_,665108,,NextRound,5/18/2016, 1:10:38 PM
3,4,4,6_4_5,673148,1,4,5/18/2016, 1:10:46 PM
3,5,,_,679668,,NextRound,5/18/2016, 1:10:53 PM
3,6,5,1_5_7,686725,1,5,5/18/2016, 1:11:00 PM
3,7,,_,692860,,NextRound,5/18/2016, 1:11:06 PM
3,8,0,0_6_1,698763,0,0,5/18/2016, 1:11:12 PM
3,9,,_,705147,,NextRound,5/18/2016, 1:11:18 PM
3,10,1,4_0_1,711283,2,1,5/18/2016, 1:11:25 PM
3,11,,_,720307,,NextRound,5/18/2016, 1:11:34 PM
3,12,7,0_7_5,725027,1,7,5/18/2016, 1:11:38 PM
3,13,,_,734411,,NextRound,5/18/2016, 1:11:48 PM
3,14,3,5_4_3,738619,1,4,5/18/2016, 1:11:52 PM
3,15,,_,746547,,NextRound,5/18/2016, 1:12:00 PM
