game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,17342,,NextRound,6/2/2016, 4:05:13 PM
0,0,,_,44477,,NextRound,6/2/2016, 4:05:40 PM
0,1,7,4_7_2,58581,0,4,6/2/2016, 4:05:55 PM
0,2,,_,84900,,NextRound,6/2/2016, 4:06:21 PM
0,3,6,7_6_2,129699,1,6,6/2/2016, 4:07:06 PM
0,4,,_,174162,,NextRound,6/2/2016, 4:07:50 PM
0,5,1,1_0_3,199298,1,0,6/2/2016, 4:08:15 PM
0,6,,_,236761,,NextRound,6/2/2016, 4:08:53 PM
0,7,2,7_2_3,254616,1,2,6/2/2016, 4:09:11 PM
0,8,,_,269208,,NextRound,6/2/2016, 4:09:25 PM
0,9,5,5_6_7,281688,0,5,6/2/2016, 4:09:38 PM
0,10,,_,296312,,NextRound,6/2/2016, 4:09:52 PM
0,11,3,3_6_0,300039,0,3,6/2/2016, 4:09:56 PM
0,12,,_,331023,,NextRound,6/2/2016, 4:10:27 PM
0,13,4,1_2_4,337791,1,2,6/2/2016, 4:10:34 PM
PrevRound
PrevRound
0,12,,_,400870,,NextRound,6/2/2016, 4:11:37 PM
0,13,4,1_2_4,412790,2,4,6/2/2016, 4:11:49 PM
0,14,,_,432517,,NextRound,6/2/2016, 4:12:08 PM
0,15,0,5_3_0,441580,2,0,6/2/2016, 4:12:18 PM
1,-1,,_,445420,,NextRound,6/2/2016, 4:12:21 PM
1,0,,_,452516,,NextRound,6/2/2016, 4:12:28 PM
1,1,2,7_2_3,461052,1,2,6/2/2016, 4:12:37 PM
1,2,,_,468043,,NextRound,6/2/2016, 4:12:44 PM
1,3,0,5_3_0,471147,2,0,6/2/2016, 4:12:47 PM
1,4,,_,479867,,NextRound,6/2/2016, 4:12:56 PM
1,5,3,3_6_0,484363,0,3,6/2/2016, 4:13:00 PM
1,6,,_,490226,,NextRound,6/2/2016, 4:13:06 PM
1,7,7,4_7_2,523459,0,4,6/2/2016, 4:13:39 PM
1,8,,_,543466,,NextRound,6/2/2016, 4:13:59 PM
1,9,1,1_0_3,548369,0,1,6/2/2016, 4:14:04 PM
1,10,,_,555649,,NextRound,6/2/2016, 4:14:12 PM
1,11,6,7_6_2,565537,1,6,6/2/2016, 4:14:21 PM
1,12,,_,578465,,NextRound,6/2/2016, 4:14:34 PM
1,13,5,5_6_7,582337,0,5,6/2/2016, 4:14:38 PM
1,14,,_,587177,,NextRound,6/2/2016, 4:14:43 PM
1,15,4,1_2_4,593049,2,4,6/2/2016, 4:14:49 PM
2,-1,,_,595665,,NextRound,6/2/2016, 4:14:52 PM
2,0,,_,610296,,NextRound,6/2/2016, 4:15:06 PM
2,1,0,5_3_0,615072,2,0,6/2/2016, 4:15:11 PM
2,2,,_,619105,,NextRound,6/2/2016, 4:15:15 PM
2,3,7,4_7_2,626137,0,4,6/2/2016, 4:15:22 PM
2,4,,_,653975,,NextRound,6/2/2016, 4:15:50 PM
2,5,3,3_6_0,656711,0,3,6/2/2016, 4:15:53 PM
2,6,,_,664103,,NextRound,6/2/2016, 4:16:00 PM
2,7,1,1_0_3,669231,0,1,6/2/2016, 4:16:05 PM
2,8,,_,675671,,NextRound,6/2/2016, 4:16:12 PM
2,9,4,1_2_4,682439,2,4,6/2/2016, 4:16:18 PM
2,10,,_,687223,,NextRound,6/2/2016, 4:16:23 PM
2,11,2,7_2_3,690142,1,2,6/2/2016, 4:16:26 PM
2,12,,_,700662,,NextRound,6/2/2016, 4:16:37 PM
2,13,5,5_6_7,702502,0,5,6/2/2016, 4:16:38 PM
2,14,,_,707758,,NextRound,6/2/2016, 4:16:44 PM
2,15,6,7_6_2,711830,1,6,6/2/2016, 4:16:48 PM
3,-1,,_,715502,,NextRound,6/2/2016, 4:16:51 PM
3,0,,_,725750,,NextRound,6/2/2016, 4:17:02 PM
3,1,5,5_6_7,727542,0,5,6/2/2016, 4:17:04 PM
3,2,,_,743886,,NextRound,6/2/2016, 4:17:20 PM
3,3,3,3_6_0,748718,0,3,6/2/2016, 4:17:25 PM
3,4,,_,753797,,NextRound,6/2/2016, 4:17:30 PM
3,5,2,7_2_3,757061,1,2,6/2/2016, 4:17:33 PM
3,6,,_,763589,,NextRound,6/2/2016, 4:17:40 PM
3,7,1,1_0_3,765670,0,1,6/2/2016, 4:17:42 PM
3,8,,_,770117,,NextRound,6/2/2016, 4:17:46 PM
3,9,6,7_6_2,776709,1,6,6/2/2016, 4:17:53 PM
3,10,,_,780533,,NextRound,6/2/2016, 4:17:56 PM
3,11,7,4_7_2,804804,1,7,6/2/2016, 4:18:21 PM
3,12,,_,809428,,NextRound,6/2/2016, 4:18:25 PM
3,13,4,1_2_4,813492,2,4,6/2/2016, 4:18:29 PM
3,14,,_,821980,,NextRound,6/2/2016, 4:18:38 PM
3,15,0,5_3_0,824284,2,0,6/2/2016, 4:18:40 PM
