game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,23621,,NextRound,5/9/2016, 4:11:47 PM
0,0,2,3_4_2,39525,2,2,5/9/2016, 4:12:03 PM
0,1,,_,86187,,NextRound,5/9/2016, 4:12:50 PM
0,2,3,5_4_3,175856,2,3,5/9/2016, 4:14:19 PM
0,3,,_,194672,,NextRound,5/9/2016, 4:14:38 PM
0,4,5,1_5_7,230999,0,1,5/9/2016, 4:15:14 PM
0,5,,_,269174,,NextRound,5/9/2016, 4:15:52 PM
0,6,7,0_7_5,287150,1,7,5/9/2016, 4:16:10 PM
0,7,,_,311709,,NextRound,5/9/2016, 4:16:35 PM
0,8,1,4_0_1,335060,2,1,5/9/2016, 4:16:58 PM
0,9,,_,359020,,NextRound,5/9/2016, 4:17:22 PM
0,10,4,6_4_5,452273,1,4,5/9/2016, 4:18:56 PM
0,11,,_,467777,,NextRound,5/9/2016, 4:19:11 PM
0,12,0,0_6_1,476048,0,0,5/9/2016, 4:19:19 PM
0,13,,_,508928,,NextRound,5/9/2016, 4:19:52 PM
0,14,6,6_1_2,522231,0,6,5/9/2016, 4:20:06 PM
0,15,,_,537247,,NextRound,5/9/2016, 4:20:21 PM
1,-1,,_,541344,,NextRound,5/9/2016, 4:20:25 PM
1,0,1,4_0_1,566704,2,1,5/9/2016, 4:20:50 PM
1,1,,_,596742,,NextRound,5/9/2016, 4:21:20 PM
1,2,6,6_1_2,604541,0,6,5/9/2016, 4:21:28 PM
1,3,,_,616445,,NextRound,5/9/2016, 4:21:40 PM
1,4,4,6_4_5,623397,1,4,5/9/2016, 4:21:47 PM
1,5,,_,631053,,NextRound,5/9/2016, 4:21:54 PM
1,6,2,3_4_2,641325,2,2,5/9/2016, 4:22:05 PM
1,7,,_,655908,,NextRound,5/9/2016, 4:22:19 PM
1,8,5,1_5_7,681123,1,5,5/9/2016, 4:22:44 PM
1,9,,_,702203,,NextRound,5/9/2016, 4:23:06 PM
1,10,3,5_4_3,709226,1,4,5/9/2016, 4:23:13 PM
1,11,,_,724970,,NextRound,5/9/2016, 4:23:28 PM
1,12,7,0_7_5,733690,1,7,5/9/2016, 4:23:37 PM
1,13,,_,745138,,NextRound,5/9/2016, 4:23:48 PM
1,14,0,0_6_1,752377,0,0,5/9/2016, 4:23:56 PM
1,15,,_,765442,,NextRound,5/9/2016, 4:24:09 PM
2,-1,,_,767849,,NextRound,5/9/2016, 4:24:11 PM
2,0,6,6_1_2,778689,0,6,5/9/2016, 4:24:22 PM
2,1,,_,788937,,NextRound,5/9/2016, 4:24:32 PM
2,2,2,3_4_2,797472,2,2,5/9/2016, 4:24:41 PM
2,3,,_,807968,,NextRound,5/9/2016, 4:24:51 PM
2,4,4,6_4_5,814560,1,4,5/9/2016, 4:24:58 PM
2,5,,_,826864,,NextRound,5/9/2016, 4:25:10 PM
2,6,5,1_5_7,843295,1,5,5/9/2016, 4:25:27 PM
2,7,,_,855551,,NextRound,5/9/2016, 4:25:39 PM
2,8,0,0_6_1,861463,0,0,5/9/2016, 4:25:45 PM
2,9,,_,872382,,NextRound,5/9/2016, 4:25:56 PM
2,10,1,4_0_1,885206,2,1,5/9/2016, 4:26:09 PM
2,11,,_,895703,,NextRound,5/9/2016, 4:26:19 PM
2,12,7,0_7_5,901966,1,7,5/9/2016, 4:26:25 PM
2,13,,_,913342,,NextRound,5/9/2016, 4:26:37 PM
2,14,3,5_4_3,920189,2,3,5/9/2016, 4:26:44 PM
2,15,,_,932469,,NextRound,5/9/2016, 4:26:56 PM
3,-1,,_,935469,,NextRound,5/9/2016, 4:26:59 PM
3,0,7,0_7_5,944933,1,7,5/9/2016, 4:27:08 PM
3,1,,_,956156,,NextRound,5/9/2016, 4:27:19 PM
3,2,4,6_4_5,964628,1,4,5/9/2016, 4:27:28 PM
3,3,,_,975220,,NextRound,5/9/2016, 4:27:39 PM
3,4,1,4_0_1,980684,2,1,5/9/2016, 4:27:44 PM
3,5,,_,991524,,NextRound,5/9/2016, 4:27:55 PM
3,6,5,1_5_7,1001011,1,5,5/9/2016, 4:28:04 PM
3,7,,_,1013659,,NextRound,5/9/2016, 4:28:17 PM
3,8,3,5_4_3,1017699,2,3,5/9/2016, 4:28:21 PM
3,9,,_,1027315,,NextRound,5/9/2016, 4:28:31 PM
3,10,2,3_4_2,1031906,2,2,5/9/2016, 4:28:35 PM
3,11,,_,1041530,,NextRound,5/9/2016, 4:28:45 PM
3,12,0,0_6_1,1046018,0,0,5/9/2016, 4:28:49 PM
3,13,,_,1060178,,NextRound,5/9/2016, 4:29:03 PM
3,14,6,6_1_2,1066402,0,6,5/9/2016, 4:29:10 PM
3,15,,_,1075257,,NextRound,5/9/2016, 4:29:19 PM
